iter	Logloss
0	0.6901216731
1	0.6863783206
2	0.6830863283
3	0.6801130134
4	0.6765870741
5	0.6737173279
6	0.6713979678
7	0.6673134572
8	0.6641162632
9	0.6609584318
10	0.6578930034
11	0.6548902672
12	0.6522178117
13	0.6492887697
14	0.6462832403
15	0.6433553718
16	0.6404431057
17	0.6388727114
18	0.6364870803
19	0.633652269
20	0.6297135662
21	0.6269696236
22	0.6248671328
23	0.6208078578
24	0.6183242857
25	0.6148670192
26	0.6125885416
27	0.6108566311
28	0.6092971985
29	0.6076697795
30	0.6062992265
31	0.603797581
32	0.6004000956
33	0.5971359865
34	0.595627818
35	0.5935599294
36	0.5921540306
37	0.5902727825
38	0.587296693
39	0.5851262092
40	0.582998939
41	0.5812967693
42	0.5795380442
43	0.5782345515
44	0.5769920298
45	0.5748542832
46	0.5736388688
47	0.5721477623
48	0.5712320474
49	0.5695906024
50	0.5677934415
51	0.5661104572
52	0.5648214402
53	0.5634969583
54	0.5620074727
55	0.5600281628
56	0.5583294915
57	0.5567218507
58	0.5549190329
59	0.5538739591
60	0.5523824446
61	0.5515397385
62	0.5505947836
63	0.5494617001
64	0.5482759368
65	0.5474185752
66	0.5449873258
67	0.5441117921
68	0.5418576695
69	0.5410184258
70	0.5399549403
71	0.5391585156
72	0.5378016915
73	0.5363137259
74	0.5354272338
75	0.5335895111
76	0.5314556075
77	0.5304630223
78	0.5294884461
79	0.5284288444
80	0.5276493163
81	0.5268841613
82	0.5263589102
83	0.525672457
84	0.5243756917
85	0.5237001868
86	0.5227853829
87	0.521538134
88	0.5206221
89	0.5196756146
90	0.5188099172
91	0.5175457158
92	0.5166122783
93	0.5156754348
94	0.5150952753
95	0.5140639827
96	0.512973804
97	0.5124200094
98	0.5116324703
99	0.5108338403
100	0.5100098063
101	0.509046924
102	0.508172996
103	0.5075126789
104	0.5069635729
105	0.5062706168
106	0.5054662256
107	0.5047492634
108	0.5039113786
109	0.5033482991
110	0.5027948296
111	0.5017724264
112	0.5008282931
113	0.5000628927
114	0.4989559692
115	0.4984420766
116	0.4971585532
117	0.4960639611
118	0.4956242665
119	0.4949566797
120	0.4940343859
121	0.4934633301
122	0.4926230529
123	0.4916760486
124	0.4908236022
125	0.4900235517
126	0.4895016169
127	0.489003654
128	0.4883932705
129	0.4879865995
130	0.4875671119
131	0.4871469633
132	0.4866461355
133	0.4858369357
134	0.4852291324
135	0.4844861264
136	0.4839940095
137	0.4836719524
138	0.4827544191
139	0.4818919009
140	0.4813315176
141	0.4806736543
142	0.4802641048
143	0.479869322
144	0.4790630666
145	0.4788130095
146	0.478503985
147	0.47773385
148	0.4768570073
149	0.4760816205
150	0.4755992143
151	0.4749718092
152	0.4740976455
153	0.4733216033
154	0.4726665684
155	0.4722575438
156	0.4716111936
157	0.4712502726
158	0.4708667326
159	0.4701984278
160	0.469463081
161	0.4690898941
162	0.468733061
163	0.4681242715
164	0.4675712292
165	0.4668779203
166	0.4661333197
167	0.4656269305
168	0.4653028338
169	0.4649479301
170	0.4645431996
171	0.4638406325
172	0.4633652816
173	0.4629321037
174	0.462236708
175	0.4615736722
176	0.4612735787
177	0.4609508467
178	0.4606473727
179	0.4603316101
180	0.4598232443
181	0.4587771921
182	0.4583410211
183	0.4572675167
184	0.456666136
185	0.4561081714
186	0.4556353984
187	0.4552447847
188	0.4547609901
189	0.4543097421
190	0.4541082057
191	0.4536516508
192	0.4533038364
193	0.4527682856
194	0.452484768
195	0.452192713
196	0.451655818
197	0.4513792378
198	0.4507439183
199	0.4503949986
200	0.4500388331
201	0.4496876224
202	0.4493552061
203	0.4486731822
204	0.4483661438
205	0.4479135222
206	0.4475098646
207	0.4467972817
208	0.4461956366
209	0.445952189
210	0.4456602514
211	0.4453598714
212	0.4448912304
213	0.4443407359
214	0.4439193877
215	0.4436051337
216	0.4433036774
217	0.4429698031
218	0.4427792701
219	0.4424474176
220	0.4417921829
221	0.4415656975
222	0.4413717781
223	0.4407695035
224	0.4404870623
225	0.4398883479
226	0.4394940906
227	0.4390696593
228	0.4387713485
229	0.4385159496
230	0.438184891
231	0.4379189792
232	0.4375059066
233	0.437137611
234	0.43670239
235	0.4364770393
236	0.4362593001
237	0.4358887287
238	0.4353353151
239	0.4350086079
240	0.4345284928
241	0.43424067
242	0.4337739889
243	0.4333305675
244	0.4330198552
245	0.4327175431
246	0.4322422297
247	0.4318799705
248	0.4314736777
249	0.4309851442
250	0.4304251774
251	0.4297972468
252	0.4294484914
253	0.4292126988
254	0.4288369094
255	0.4284889252
256	0.4282492262
257	0.4280977756
258	0.4275211424
259	0.4271345546
260	0.426703211
261	0.4263518796
262	0.4259563886
263	0.4257384658
264	0.4253695987
265	0.4252133151
266	0.4249942883
267	0.4246854049
268	0.4241782918
269	0.4236647688
270	0.4232974451
271	0.422944873
272	0.4225345193
273	0.4220731261
274	0.4217642306
275	0.4212780901
276	0.4210196014
277	0.420608708
278	0.4203449181
279	0.4200295373
280	0.4196467779
281	0.4194975683
282	0.4192992648
283	0.4191227486
284	0.4187715129
285	0.418287395
286	0.4180707842
287	0.4175605988
288	0.4172869707
289	0.4168754188
290	0.4165581955
291	0.4162609585
292	0.4160471648
293	0.4158144516
294	0.415548187
295	0.4152559002
296	0.4145943406
297	0.414479944
298	0.4143306601
299	0.4140385428
300	0.4137159809
301	0.4135036106
302	0.4129865697
303	0.4127846611
304	0.4125674705
305	0.4123258608
306	0.4121567908
307	0.4119959387
308	0.4116712853
309	0.411422222
310	0.4110554292
311	0.4108577296
312	0.4106225863
313	0.4103834582
314	0.4102203446
315	0.4100420014
316	0.4098545231
317	0.4097206249
318	0.4093693431
319	0.4089947763
320	0.4086669603
321	0.4084094802
322	0.4082555548
323	0.4079064779
324	0.407634669
325	0.4072989676
326	0.4069704457
327	0.4067567727
328	0.4066446962
329	0.4062137109
330	0.4059373562
331	0.4058345728
332	0.4056864697
333	0.4054919738
334	0.4052448405
335	0.4048720256
336	0.4046093545
337	0.4044800359
338	0.4041332336
339	0.4038732233
340	0.4034653622
341	0.4030203446
342	0.4027084949
343	0.4025440242
344	0.4021560811
345	0.4018269925
346	0.4015649619
347	0.4014079997
348	0.4011099774
349	0.4008498379
350	0.4005835278
351	0.4003203214
352	0.4002217653
353	0.3997245546
354	0.3994706991
355	0.3993430199
356	0.3990975259
357	0.3988660381
358	0.3986794036
359	0.3985009581
360	0.3983648772
361	0.3980339453
362	0.3978313562
363	0.3975932541
364	0.3974248347
365	0.397077802
366	0.3968150679
367	0.3963398121
368	0.3960231536
369	0.3959023343
370	0.3957371279
371	0.3955542735
372	0.3952073977
373	0.394870276
374	0.39469852
375	0.3944785724
376	0.3942856022
377	0.3940586979
378	0.3937337776
379	0.3933602459
380	0.3931778023
381	0.3928208572
382	0.3924274165
383	0.3922014962
384	0.3919804211
385	0.3918166023
386	0.3914641358
387	0.3912308882
388	0.3910128995
389	0.390717239
390	0.3903615013
391	0.3902182866
392	0.3901174672
